#{"t_start": 1757786018.3683665, "env_id": null}
r,l,t
-6.5,40,3673.251819
-7.0,40,3675.656414
-6.5,40,3677.941324
-7.0,40,3680.208898
-6.5,40,3682.632513
-6.5,40,3685.101119
-7.0,40,3687.605123
-5.5,40,3690.052891
-7.5,40,3692.548531
-7.0,40,3694.908909
-6.5,40,3697.392915
-7.0,40,3699.634145
-7.5,40,3731.791382
-6.5,40,3734.17061
-6.5,40,3736.505358
-7.0,40,3738.948514
-7.0,40,3741.303213
-6.5,40,3743.674755
-6.5,40,3746.09245
-6.5,40,3748.52232
-7.0,40,3751.010585
-7.0,40,3753.539596
-7.0,40,3755.891226
-7.0,40,3758.287627
-6.5,40,3760.707117
-7.5,40,3763.048061
-7.0,40,3765.378398
-7.0,40,3767.774908
-7.0,40,3770.146919
-6.5,40,3772.487754
-6.5,40,3774.926208
-6.5,40,3777.156124
-6.5,40,3779.678513
-6.5,40,3782.073476
-7.0,40,3784.485097
-7.0,40,3786.887547
-6.5,40,3789.282291
-7.0,40,3825.744812
-7.0,40,3828.082714
-7.0,40,3830.463992
-7.0,40,3832.808536
-7.0,40,3835.180225
-6.5,40,3837.643493
-6.0,40,3840.074088
-7.0,40,3842.625199
-7.0,40,3844.837897
-7.0,40,3847.311596
-6.5,40,3849.571811
-7.0,40,3852.126541
-6.5,40,3854.571453
-7.0,40,3857.061593
-6.5,40,3859.450911
-7.0,40,3862.039323
-6.5,40,3864.473488
-6.5,40,3866.997583
-7.0,40,3869.501777
-6.5,40,3871.906159
-6.5,40,3874.328228
-6.5,40,3876.822635
-6.5,40,3879.267118
-7.0,40,3881.766583
-7.0,40,3884.31443
-7.0,40,3921.587685
-6.0,40,3924.193375
-6.5,40,3926.62371
-7.0,40,3929.023689
-6.0,40,3931.602357
-7.0,40,3934.119814
-7.0,40,3936.554604
-7.0,40,3938.963723
-7.0,40,3941.371248
-7.0,40,3943.857621
-7.0,40,3946.18987
-7.0,40,3948.524645
-6.0,40,3950.830467
-7.5,40,3953.311617
-7.0,40,3955.812328
-6.5,40,3958.230587
-7.0,40,3960.756873
-7.0,40,3963.266017
-7.0,40,3965.744712
-7.5,40,3968.093058
-7.0,40,3970.645191
-6.5,40,3973.110286
-6.5,40,3975.513334
-7.0,40,3977.918143
-6.5,40,3980.399451
-6.5,40,4012.903691
-7.0,40,4015.441114
-7.0,40,4017.932355
-7.0,40,4020.239478
-7.0,40,4022.811369
-7.0,40,4025.262003
-6.5,40,4027.618383
-7.0,40,4029.919117
